name;price;brend;url;article;author;genre;language;year;cover
Из копилки детектива. Том 5. Часть а;;Инициатор;https://www.wildberries.ru/catalog/225516094/detail.aspx;225516094;"Дюрренматт Фридрих; Пристли Джон Бойнтон";"Детективы для взрослых; Триллеры";русский;1993;
Из копилки детектива. Том 5. Часть А;;Инициатор;https://www.wildberries.ru/catalog/225561305/detail.aspx;225561305;"Дюрренматт Фридрих; Пристли Джон Бойнтон";"Детективы для взрослых; Триллеры";русский;1993;
Из копилки детектива. Том 5. Часть А;;Инициатор;https://www.wildberries.ru/catalog/235061586/detail.aspx;235061586;"Дюрренматт Фридрих; Пристли Джон Бойнтон";"Детективы для взрослых; Триллеры";русский;1993;
Из копилки детектива. Том 5. Часть А;;Инициатор;https://www.wildberries.ru/catalog/251261897/detail.aspx;251261897;"Дюрренматт Фридрих; Пристли Джон Бойнтон";"Детективы для взрослых; Триллеры";русский;1993;
Из копилки детектива. Том 5. Часть А;;Инициатор;https://www.wildberries.ru/catalog/224378794/detail.aspx;224378794;"Дюрренматт Фридрих; Пристли Джон Бойнтон";"Детективы для взрослых; Триллеры";русский;1993;
Современный швейцарский детектив;;Радуга;https://www.wildberries.ru/catalog/216782260/detail.aspx;216782260;"Дюрренматт Фридрих; Глаузер Фридрих; Нестер Маркус П.";"Детективы для взрослых; Триллеры";русский;1989;
Современный швейцарский детектив;;Радуга;https://www.wildberries.ru/catalog/204434666/detail.aspx;204434666;"Фридрих Глаузер; Фридрих Дюрренматт; Маркус П. Нестер";"Детективы для взрослых; Триллеры";русский;1989;
Убийства - мой бизнес;;Фабула;https://www.wildberries.ru/catalog/173612459/detail.aspx;173612459;"Чандлер Рэймонд; Дюрренматт Фридрих; Хэллидей Брет";"Детективы для взрослых; Триллеры";русский;1992;
Убийства - мой бизнес;;Фабула;https://www.wildberries.ru/catalog/229744028/detail.aspx;229744028;"Чандлер Рэймонд; Дюрренматт Фридрих; Хэллидей Брет";"Детективы для взрослых; Триллеры";русский;1992;
Детективы классиков современной прозы;;Республика;https://www.wildberries.ru/catalog/231476896/detail.aspx;231476896;"Грин Грэм; Дюрренматт Фридрих; Сноу Чарльз Перси";"Детективы для взрослых; Триллеры";русский;1993;
Из копилки детектива. Том 5. Часть А;;Инициатор;https://www.wildberries.ru/catalog/236951470/detail.aspx;236951470;"Пристли Джон Бойнтон; Дюрренматт Фридрих";"Детективы для взрослых; Триллеры";русский;1993;Твердая обложка
Из копилки детектива. Том 5. Часть А;;Инициатор;https://www.wildberries.ru/catalog/210565695/detail.aspx;210565695;"Пристли Джон Бойнтон; Дюрренматт Фридрих";"Детективы для взрослых; Триллеры";русский;1993;
Из копилки детектива. Том 5. Часть А;;Инициатор;https://www.wildberries.ru/catalog/207890861/detail.aspx;207890861;"Пристли Джон Бойнтон; Дюрренматт Фридрих";"Детективы для взрослых; Триллеры";русский;1993;
Современный швейцарский детектив;;Радуга;https://www.wildberries.ru/catalog/236954280/detail.aspx;236954280;"Маркус П. Нестер; Фридрих Глаузер; Фридрих Дюрренматт";"Детективы для взрослых; Триллеры";русский;1989;
Детективы классиков современной прозы;;Республика;https://www.wildberries.ru/catalog/259419695/detail.aspx;259419695;"Грин Грэм; Сноу Чарльз Перси; Дюрренматт Фридрих";"Детективы для взрослых; Триллеры";русский;1993;
Современный швейцарский детектив;;Радуга;https://www.wildberries.ru/catalog/220134259/detail.aspx;220134259;"Нестер Маркус П.; Глаузер Фридрих; Дюрренматт Фридрих";"Детективы для взрослых; Триллеры";русский;1989;
Современный швейцарский детектив;;Радуга;https://www.wildberries.ru/catalog/236959041/detail.aspx;236959041;"Нестер Маркус П.; Глаузер Фридрих; Дюрренматт Фридрих";"Детективы для взрослых; Триллеры";русский;1989;
Современный швейцарский детектив;;Радуга;https://www.wildberries.ru/catalog/209651756/detail.aspx;209651756;"Нестер Маркус П.; Глаузер Фридрих; Дюрренматт Фридрих";"Детективы для взрослых; Триллеры";русский;1989;
Судья и его палач / Der Richter und Sein Henker;;Издательство КАРО;https://www.wildberries.ru/catalog/13625409/detail.aspx;13625409;Дюрренматт Ф.;Немецкий язык;;;
Фридрих Дюрренматт. Избранное;;Радуга;https://www.wildberries.ru/catalog/263024967/detail.aspx;263024967;Дюрренматт Фридрих;"Проза для взрослых; Художественная литература";русский;1990;
Современный швейцарский детектив;;Радуга;https://www.wildberries.ru/catalog/253793272/detail.aspx;253793272;"Фридрих Глаузер; Фридрих Дюрренматт; Маркус П. Нестер";;;1989;твердый переплет
Подозрение;;Мастацкая литература;https://www.wildberries.ru/catalog/228792480/detail.aspx;228792480;Дюрренматт Фридрих;"Детективы для взрослых; Триллеры";русский;1990;
Политический детектив. Подвиг. Выпуск 3;;Прибой;https://www.wildberries.ru/catalog/220151556/detail.aspx;220151556;"Сименон Жорж; Дюрренматт Фридрих; Ладлэм Роберт";"Детективы для взрослых; Триллеры";русский;1992;Твердая обложка
Политический детектив. Подвиг. Выпуск 4;;Прибой;https://www.wildberries.ru/catalog/178630636/detail.aspx;178630636;"Сименон Жорж; Дюрренматт Фридрих; Ладлэм Роберт";"Детективы для взрослых; Триллеры";русский;1993;
Подозрение;;Мастацкая литература;https://www.wildberries.ru/catalog/241299515/detail.aspx;241299515;Дюрренматт Фридрих;"Детективы для взрослых; Триллеры";русский;1990;
Подозрение;;Мастацкая литература;https://www.wildberries.ru/catalog/234169472/detail.aspx;234169472;Дюрренматт Фридрих;"Проза для взрослых; Художественная литература";русский;1990;
Подозрение;;Мастацкая литература;https://www.wildberries.ru/catalog/214138219/detail.aspx;214138219;Дюрренматт Фридрих;"Детективы для взрослых; Триллеры";русский;1990;
Политический детектив. Подвиг. Выпуск 4;;Прибой;https://www.wildberries.ru/catalog/220151663/detail.aspx;220151663;"Сименон Жорж; Дюрренматт Фридрих; Ладлэм Роберт";"Детективы для взрослых; Триллеры";русский;1993;
Арена. Политический детектив. Выпуск 7;;Московский рабочий;https://www.wildberries.ru/catalog/263639138/detail.aspx;263639138;Дюрренматт Фридрих;"Триллеры; Детективы для взрослых";Русский;1993;Мягкая
Подвиг № 4, 1968;;Молодая гвардия;https://www.wildberries.ru/catalog/179936346/detail.aspx;179936346;"Санита Жан; Дюрренматт Фридрих";"Проза для взрослых; Художественная литература";русский;1968;
Из копилки детектива. Том 5;;Инициатор;https://www.wildberries.ru/catalog/209401206/detail.aspx;209401206;"Пристли Джон Бойнтон; Дюрренматт Фридрих";"Детективы для взрослых; Триллеры";русский;1993;
Политический детектив. Подвиг. Выпуск 4;;Прибой;https://www.wildberries.ru/catalog/239223785/detail.aspx;239223785;"Сименон Жорж; Ладлэм Роберт; Дюрренматт Фридрих";"Детективы для взрослых; Триллеры";русский;1993;
